"Reference","Value","Datasheet","Footprint","Qty","DNP"
"C1,C2,C14","10n","~","Capacitor_THT:C_Disc_D5.0mm_W2.5mm_P5.00mm","3",""
"C3,C4,C6,C7,C8,C9,C10,C11,C17","1u","~","Capacitor_THT:C_Disc_D5.0mm_W2.5mm_P5.00mm","9",""
"C5,C12,C13","220p","~","Capacitor_THT:C_Disc_D5.0mm_W2.5mm_P5.00mm","3",""
"C15","100n","~","Capacitor_THT:C_Disc_D5.0mm_W2.5mm_P5.00mm","1",""
"C16","47u","~","Capacitor_THT:CP_Radial_D5.0mm_P2.50mm","1",""
"D1,D2,D3,D4,D5,D6,D7,D8","WS2812B","https://cdn-shop.adafruit.com/datasheets/WS2812B.pdf","LED_SMD:LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm","8",""
"D9,D10","SB160","http://www.diodes.com/_files/datasheets/ds23022.pdf","-- mixed values --","2",""
"H1,H2","MountingHole","~","MountingHole:MountingHole_3.5mm","2",""
"J1,J2,J4,J5","AudioJack2_SwitchT","~","Connector_Audio_Custom:Mono_Jack_3.5mm_THT_Horizontal","4",""
"J3","Conn_02x08_Odd_Even","~","Connector_IDC:IDC-Header_2x08_P2.54mm_Vertical","1",""
"J6","Conn_02x06_Odd_Even","~","Connector_PinHeader_2.54mm:PinHeader_2x06_P2.54mm_Vertical","1",""
"Q1","2N3904","https://www.onsemi.com/pub/Collateral/2N3903-D.PDF","Package_TO_SOT_THT:TO-92_Inline","1",""
"R1,R2,R3,R4","6.8k","~","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical","4",""
"R5,R8,R16","1k","~","-- mixed values --","3",""
"R6,R10,R11,R12,R13,R14,R15,R18,RV1,RV2,RV3,RV4,RV5,RV6,RV7,RV8","10k","~","-- mixed values --","16",""
"R7","330","~","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical","1",""
"R9","0","~","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical","1",""
"R17","100k","~","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical","1",""
"R19,R20","4.7k","~","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","2",""
"RV9,RV10,RV11","50k","~","Potentiometer_THT:Potentiometer_Bourns_3296W_Vertical","3",""
"SW1,SW2,SW3,SW4,SW5,SW6,SW7,SW8,SW10,SW11","SW_Push","~","Button_Switch_THT:SW_PUSH_6mm_H5mm","10",""
"SW9","PEC12R-3220F-S0024","~","Rotary_Encoder:RotaryEncoder_Bourns_Vertical_PEC12R-3x17F-Sxxxx","1",""
"U1","~","https://learn.adafruit.com/introducing-itsy-bitsy-m0","Module_Custom:Adafruit_ItsyBitsy_M0_Express","1",""
"U2,U3","74HC4051","http://www.ti.com/lit/ds/symlink/cd74hc4051.pdf","Package_DIP:DIP-16_W7.62mm_Socket","2",""
"U5","128x64 0.96"" OLED I2C","","Display_Custom:OLED_0.96in_SSD1306_I2C","1",""
"U6","TL074","http://www.ti.com/lit/ds/symlink/tl071.pdf","Package_DIP:DIP-14_W7.62mm_Socket","1",""
"U7","TLV1117-33","http://www.ti.com/lit/ds/symlink/tlv1117.pdf","Package_TO_SOT_SMD:SOT-223-3_TabPin2","1",""
